lang;class;text
Czech;S;Otče náš, jenž jsi na nebesích, Posvěť se jméno Tvé, Přijď království Tvé, Buď vůle Tvá, jak v nebi tak i na zemi, Chléb náš vezdejší, Dejž nám dnes,A odpusť nám naše viny, Jako i my odpouštíme naším viníkům, A neuveď nás v pokušení, Ale chraň nás od zlého. Amen.
Polish;S;Ojcze nasz, któryś jest w niebie, święć się imię Twoje, przyjdź królestwo Twoje, bądź wola Twoja jako w niebie tak i na ziemi, chleba naszego powszedniego daj nam dzisiaj, i odpuść nam nasze winy, jako i my odpuszczamy naszym winowajcom, i nie wódź nas na pokuszenie, ale nas zbaw od złego. Amen.
Deutsch;G;Vater unser im Himmel, geheiligt werde dein Name, Dein Reich komme, Dein Wille geschehe, wie im Himmel so auf Erden, Unser tägliches Brot gib uns heute, Und vergib uns unsere Schuld, wie auch wir vergeben unsern Schuldigern, Und führe uns nicht in Versuchung, sondern erlöse uns von dem Bösen. Amen.
English;G;Our Father in heaven, hallowed be your name, your kingdom come, your will be done, on earth as in heaven. Give us today our daily bread. Forgive us our sins as we forgive those who sin against us. Save us from the time of trial, and deliver us from evil. For the kingdom, the power, and the glory are yours, now and forever. Amen.
French;R;Notre Père, toi qui es dans les cieux, que tu sois reconnu pour Dieu, que ton règne vienne, que ta volonté soit faite, et tout cela, sur la terre comme au ciel, Donne-nous aujourd'hui, le pain dont nous avons besoin, pardonne-nous nos torts envers toi comme nous pardonnons nous-mêmes les torts des autres envers nous. Amen.
Dutch;G;Onze Vader in de hemel, uw naam worde geheiligd, uw koninkrijk kome, uw wil geschiede, op aarde zoals in de hemel, Geef ons heden ons dagelijks brood, en vergeef ons onze schulden, zoals ook wij anderen hun schulden hebben vergeven, en stel ons niet op de proef, maar verlos ons van de duivel. Amen.
Latin;R;Pater noster, qui es in caelis, sanctificetur nomen tuum, adveniat regnum tuum, fiat voluntas tua, sicut in caelo et in terra, Panem nostrum cotidianum da nobis hodie, et dimitte nobis debita nostra, sicut et nos dimittimus debitoribus nostris, et ne nos inducas in tentationem, sed libera nos a malo. Amen.
Italian;R;Padre nostro che sei nei cieli, sia santificato il tuo Nome, venga il tuo Regno, sia fatta la tua Volontà, come in cielo così in terra, Dacci oggi il nostro pane quotidiano, e rimetti a noi i nostri debiti, come noi li rimettiamo ai nostri debitori, e non ci indurre in tentazione, ma liberaci dal Male. Amen.
Spanish;R;Padre nuestro que estás en el Cielo, santificado sea tu nombre, venga a nosotros tu Reino, hágase tu voluntad en la Tierra como en el Cielo, danos hoy nuestro pan de cada día, y perdona nuestras ofensas, como también nosotros perdonamos a los que nos ofenden, no nos dejes caer en la tentación, y líbranos del mal. Amen.
Slovak;S;Otče náš, ktorý si na nebesách, posväť sa meno tvoje, prid' kráľovstvo tvoje, bud' vôľa tvoja, jako na nebi, tak i na zemi. Chlieb náš vozdajší daj nám dnes, a otpusť nám naše viny, jako i my odpúšťame našim vinníkom. A neuvod' nás v pokušenie, ale zbav nás od zlého. Amen.
Serbian;S;Wótče naš, kiž sy w njebjesach, Swjeć so Twoje mjeno, Přińdź Twoje kralestwo, Stań so Twoja wola, kaž na njebju, tak na zemi, Wšědny chlěb naš daj nam dźens, Wodaj nam naše winy, jako my tež wodawamy swojim winikam, A njewjedź nas do spytowanja, ale wumóž nas wot złeho. Amen.
Swedesh;G;Vår fader, du som är i himlen, Låt ditt namn bli helgat, Låt ditt rike komma, Låt din vilja ske, på jorden så som i himlen, Ge oss i dag vårt bröd för dagen som kommer, Och förlåt oss våra skulder, liksom vi har förlåtit dem som står i skuld till oss, Och utsätt oss inte för prövning, utan rädda oss från det onda. Amen.
Finnish;F;Isä meidän, joka olet taivaissa, Pyhitetty olkoon sinun nimesi, Tulkoon sinun valtakuntasi, Tapahtukoon sinun tahtosi, myös maan päällä niin kuin taivaassa, Anna meille tänä päivänä, meidän jokapäiväinen leipämme, Ja anna meille meidän syntimme anteeksi, niin kuin mekin anteeksi annamme niille, jotka ovat meitä vastaan rikkoneet, Äläkä saata meitä kiusaukseen, vaan päästä meidät pahasta. Aamen.
